city,text,sentiment,created_at
"New York, USA",These DUMOCRATS are THE LAUGHING STOCK OF THE WORLD!!!!! They NEED TO BE TAKEN OUT BACK BEHIND THE BARN AND WHIPPED? https://t.co/DmqWSmkeo1,0,Wed Mar 27 11:02:04 +0000 2019
"Ottawa, Ontario",@ThomasAdshead That?s excellent Tom - I hope some of our former colleagues @EBRD see this! @lecavalf @Rayjayconway,0,Wed Mar 27 11:02:10 +0000 2019
"New York, USA",#BarrBrief does not equal #MuellerReport.,0,Wed Mar 27 11:02:22 +0000 2019
"New York, USA","Well it?s starting out bright ? (@ Up at dark-thirty? in Deerfield, NY) https://t.co/l7MM8vxEbx https://t.co/vkEgrNl9Y7",0,Wed Mar 27 11:02:30 +0000 2019
"Ottawa, Ontario","""It is important for children of color to see positive reflections of themselves.? https://t.co/JGPK7niJhg",1,Wed Mar 27 11:02:34 +0000 2019
"New York, USA",Construction on #US20 EB at NY 12  Junction Sangerfield https://t.co/OundyfxS47,0,Wed Mar 27 11:02:38 +0000 2019
"New York, USA",Construction on #NY5 Both directions at South Ave https://t.co/25z2xaJFYD,0,Wed Mar 27 11:02:38 +0000 2019
"New York, USA",Construction on #NY12 NB at Shanley Road https://t.co/Rm7mDgWE8n,0,Wed Mar 27 11:02:38 +0000 2019
Canada,"Wholesale Kids Clothing Manufacturer in USA and Australia
https://t.co/oaAeacgRqx 
#manufacturers #wholesale #kids? https://t.co/oL6IOvdb0f",0,Wed Mar 27 11:02:38 +0000 2019
"New York, USA",Construction on #NY8 Both directions from US 20 to Holman City Road https://t.co/OCnZY401En,1,Wed Mar 27 11:02:38 +0000 2019
"New York, USA",Construction on #NY5 Both directions from Town of Sullivan; Town of Lenox to Town of Lenox; Village of Wampsville https://t.co/YVDjtPEh8z,0,Wed Mar 27 11:02:39 +0000 2019
"New York, USA",Construction on #NY5 EB at West German Street https://t.co/BVHwO0dIqG,0,Wed Mar 27 11:02:39 +0000 2019
"New York, USA",Construction on #NY13 Both directions from Village of Canastota; Town of Lenox to NY 31 https://t.co/WGTdrriyFO,0,Wed Mar 27 11:02:39 +0000 2019
"New York, USA",Construction on #NY12 NB at US 20 https://t.co/SfqNb1VEzM,0,Wed Mar 27 11:02:40 +0000 2019
"New York, USA",Construction on #US20 EB at NY 12  Junction Sangerfield https://t.co/hy3BeK7aLH,0,Wed Mar 27 11:02:44 +0000 2019
"New York, USA",Construction on #NY5 Both directions at South Ave https://t.co/fCSYk2AjoE,0,Wed Mar 27 11:02:46 +0000 2019
"Ottawa, Ontario","current weather in Ottawa: few clouds, -9?C
78% humidity, wind 2kmh, pressure 1030mb",0,Wed Mar 27 11:02:50 +0000 2019
"New York, USA",Construction on #NY12 NB at Shanley Road https://t.co/Uklove1imS,0,Wed Mar 27 11:02:51 +0000 2019
"New York, USA",Construction on #NY8 Both directions from US 20 to Holman City Road https://t.co/LSqgZVShwD,1,Wed Mar 27 11:02:52 +0000 2019
"New York, USA",Construction on #NY5 Both directions from Town of Sullivan; Town of Lenox to Town of Lenox; Village of Wampsville https://t.co/zDZsE6vhmX,0,Wed Mar 27 11:02:54 +0000 2019
"New York, USA",Incident on #BronxwhitestoneBridge SB https://t.co/cAI9XB1fIB,0,Wed Mar 27 11:02:55 +0000 2019
"New York, USA",Construction on #NY5 EB at West German Street https://t.co/JqoaGM0QTf,0,Wed Mar 27 11:02:56 +0000 2019
"New York, USA",Construction on #NY13 Both directions from Village of Canastota; Town of Lenox to NY 31 https://t.co/o0Q83qyMF4,0,Wed Mar 27 11:02:57 +0000 2019
"New York, USA",Construction on #NY12 NB at US 20 https://t.co/anJOevqYdh,0,Wed Mar 27 11:03:00 +0000 2019
